address,Batch,Number of PPs
0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80,1,2
0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80,2,1
0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80,3,1
0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80,4,1
0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80,5,1
0x13c0CE1b341Cc4f0efadA8093f6081AFF0Bfeb80,6,3
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,1,2
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,2,2
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,3,2
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,4,2
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,5,2
0x0db19222F6f894bE3FDDa1Dc89fB4Bd97bECFcF5,6,2
0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e,1,1
0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e,2,1
0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e,3,1
0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e,4,1
0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e,5,1
0xdC96Dc73c2321400AeE24761Ce43F8C6eF33A10e,6,1
0x00444f498Cb5112969a652a78235281182ff4876,1,1
0x00444f498Cb5112969a652a78235281182ff4876,3,1
0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC,1,1
0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC,2,1
0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC,3,7
0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC,4,6
0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC,5,6
0x2B87BBeA6f8dbDD861399E4c8930041fe2aE5AeC,6,1
0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38,1,1
0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38,2,2
0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38,3,1
0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38,4,1
0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38,5,1
0x2cb41daE86a2380E07bcCDcaba26f68e150aBD38,6,1
0xD8b1d41A77f12Bb972Ead1b4c3503693F1Cd0560,1,7
0x3F01FA6e75f9d0477108F994400280b71915Bf56,1,2
0x3F01FA6e75f9d0477108F994400280b71915Bf56,2,1
0x3F01FA6e75f9d0477108F994400280b71915Bf56,3,3
0x3F01FA6e75f9d0477108F994400280b71915Bf56,4,1
0x3F01FA6e75f9d0477108F994400280b71915Bf56,5,3
0x3F01FA6e75f9d0477108F994400280b71915Bf56,6,2
0xE66b9c6b6363195E75F806bf5519e578F02114cE,1,6
0xE66b9c6b6363195E75F806bf5519e578F02114cE,2,6
0xE66b9c6b6363195E75F806bf5519e578F02114cE,3,6
0xE66b9c6b6363195E75F806bf5519e578F02114cE,4,7
0xE66b9c6b6363195E75F806bf5519e578F02114cE,5,6
0xE66b9c6b6363195E75F806bf5519e578F02114cE,6,12
0x5D9A1eCe4CC5092428bFf7Dd07f9AbA61D43cD2E,1,1
0x5D9A1eCe4CC5092428bFf7Dd07f9AbA61D43cD2E,3,1
0x5D9A1eCe4CC5092428bFf7Dd07f9AbA61D43cD2E,4,2
0x65Ea1984d8ce3A856750B469ee7aC7639070d65C,1,3
0x65Ea1984d8ce3A856750B469ee7aC7639070d65C,2,1
0x65Ea1984d8ce3A856750B469ee7aC7639070d65C,3,1
0x65Ea1984d8ce3A856750B469ee7aC7639070d65C,4,3
0x65Ea1984d8ce3A856750B469ee7aC7639070d65C,5,2
0x65Ea1984d8ce3A856750B469ee7aC7639070d65C,6,2
0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8,1,5
0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8,2,5
0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8,3,7
0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8,4,5
0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8,5,6
0xC169FD8055Ad90A4E40b4106b570D0d59db6A2d8,6,5
0x358C8B4836006235680367d70D9D148955b24154,1,3
0x358C8B4836006235680367d70D9D148955b24154,2,3
0x358C8B4836006235680367d70D9D148955b24154,3,3
0x358C8B4836006235680367d70D9D148955b24154,4,3
0x358C8B4836006235680367d70D9D148955b24154,5,3
0x358C8B4836006235680367d70D9D148955b24154,6,3
0x6c8B4961A165d561762bAA9ff9Ded6f98b5864f2,1,1
0x6c8B4961A165d561762bAA9ff9Ded6f98b5864f2,2,1
0xC89cE9F096DDb405359B22a4863a08e8828e88d7,1,2
0xD3d20F2D89922311F87Cd954691102f475833770,1,4
0xD3d20F2D89922311F87Cd954691102f475833770,2,3
0xD3d20F2D89922311F87Cd954691102f475833770,3,3
0xD3d20F2D89922311F87Cd954691102f475833770,4,3
0xD3d20F2D89922311F87Cd954691102f475833770,5,3
0xD3d20F2D89922311F87Cd954691102f475833770,6,5
0x6ffbb6C376d0cf590289671D652Ae92213614828,1,7
0x6ffbb6C376d0cf590289671D652Ae92213614828,2,6
0x6ffbb6C376d0cf590289671D652Ae92213614828,3,7
0x6ffbb6C376d0cf590289671D652Ae92213614828,4,6
0x6ffbb6C376d0cf590289671D652Ae92213614828,5,10
0x6ffbb6C376d0cf590289671D652Ae92213614828,6,7
0x056d952F9273B2C10A473cD8088BDFa355b10B6D,1,1
0x056d952F9273B2C10A473cD8088BDFa355b10B6D,2,1
0x056d952F9273B2C10A473cD8088BDFa355b10B6D,3,1
0x056d952F9273B2C10A473cD8088BDFa355b10B6D,4,1
0x056d952F9273B2C10A473cD8088BDFa355b10B6D,5,1
0x056d952F9273B2C10A473cD8088BDFa355b10B6D,6,1
0x69f47bb74b855Ada42237E82E65CD724764fabAa,1,1
0x69f47bb74b855Ada42237E82E65CD724764fabAa,2,1
0x69f47bb74b855Ada42237E82E65CD724764fabAa,3,1
0x69f47bb74b855Ada42237E82E65CD724764fabAa,4,1
0x69f47bb74b855Ada42237E82E65CD724764fabAa,5,1
0x69f47bb74b855Ada42237E82E65CD724764fabAa,6,1
0x237878E54e83896570D3614be4739E97449493a5,1,1
0x237878E54e83896570D3614be4739E97449493a5,2,1
0xDB54d5a9694bC7A45A3F8CA85c350d8753be082A,1,1
0xf28cD05A4d9C5dAb90C99983c996343F0DD006e2,1,1
0x44d19f3DA0FcB4b4dD4BaaAd77ad35E962f6B921,1,1
0x44d19f3DA0FcB4b4dD4BaaAd77ad35E962f6B921,2,1
0x44d19f3DA0FcB4b4dD4BaaAd77ad35E962f6B921,3,1
0x44d19f3DA0FcB4b4dD4BaaAd77ad35E962f6B921,4,1
0x44d19f3DA0FcB4b4dD4BaaAd77ad35E962f6B921,5,1
0x44d19f3DA0FcB4b4dD4BaaAd77ad35E962f6B921,6,1
0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5,1,2
0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5,2,2
0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5,3,2
0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5,4,2
0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5,5,2
0xFC961534a0A55b925dB2c5ee546c8A019c0D78d5,6,2
0x95143aED1d9B06aEe7bC2C2ccAB41cdEAEeD8Ef2,1,3
0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63,1,11
0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63,2,6
0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63,3,6
0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63,4,3
0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63,5,3
0xd142aB6D8E7B3C7b2EfbDa250158cFA2b8680d63,6,4
0x0D9F101288550703244AB0FFF47Bc0A29559D947,1,1
0x0D9F101288550703244AB0FFF47Bc0A29559D947,2,1
0xF190A2b5bFE1f1EdfA32c8e841E883c5E2AB0Dc4,1,2
0x6125fD14b6790d5F66509B7aa53274c93dAE70B9,1,3
0x6125fD14b6790d5F66509B7aa53274c93dAE70B9,3,1
0x6125fD14b6790d5F66509B7aa53274c93dAE70B9,4,1
0x6125fD14b6790d5F66509B7aa53274c93dAE70B9,5,9
0x6125fD14b6790d5F66509B7aa53274c93dAE70B9,6,2
0x00aB97c782c661fb3D08C96dce06176938101211,1,3
0x00aB97c782c661fb3D08C96dce06176938101211,2,3
0x00aB97c782c661fb3D08C96dce06176938101211,3,3
0x00aB97c782c661fb3D08C96dce06176938101211,4,3
0x00aB97c782c661fb3D08C96dce06176938101211,5,3
0x00aB97c782c661fb3D08C96dce06176938101211,6,3
0x5ca642d0138f8fa36f4ec6311190825392246AdA,1,2
0x5ca642d0138f8fa36f4ec6311190825392246AdA,2,2
0x5ca642d0138f8fa36f4ec6311190825392246AdA,3,2
0x5ca642d0138f8fa36f4ec6311190825392246AdA,4,2
0x5ca642d0138f8fa36f4ec6311190825392246AdA,5,3
0x5ca642d0138f8fa36f4ec6311190825392246AdA,6,2
0x451785b3f5fbbbA2388D8cdeDEd58251B6999D91,1,1
0x9Baa8611E207914C49a369Cd15ceE3b14ad075c4,1,3
0x76CdC668B0257Eb5146203F61F3409541FeE6358,1,2
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,1,5
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,2,5
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,3,5
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,4,5
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,5,5
0x06F9e5F8F5c170B9EEce58676D932BcC398F52e5,6,6
0xD02d64a0B7d0Fc0eE73C0EcF72E68321c6E704BF,1,1
0x546ACE3Eea396c1656867499b72741E414fe6116,1,1
0x546ACE3Eea396c1656867499b72741E414fe6116,2,1
0x546ACE3Eea396c1656867499b72741E414fe6116,3,1
0x546ACE3Eea396c1656867499b72741E414fe6116,4,2
0x546ACE3Eea396c1656867499b72741E414fe6116,5,1
0x546ACE3Eea396c1656867499b72741E414fe6116,6,1
0xcFA08a560D1964db69D5b12caFf55333c903BAD3,1,3
0x4dfEeD0bE6B9357583C4B1eA2979acf933DaE7dF,1,1
0x4dfEeD0bE6B9357583C4B1eA2979acf933DaE7dF,2,2
0x4dfEeD0bE6B9357583C4B1eA2979acf933DaE7dF,3,2
0x4dfEeD0bE6B9357583C4B1eA2979acf933DaE7dF,4,1
0x4dfEeD0bE6B9357583C4B1eA2979acf933DaE7dF,5,1
0x4dfEeD0bE6B9357583C4B1eA2979acf933DaE7dF,6,1
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,1,1
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,2,1
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,3,1
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,4,1
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,5,1
0x096E182e1e574A63324eac77a12ba0ae6F4A5E1a,6,1
0x4533E03d983Fae04741131C5f7cB35F1b32A1ACD,1,1
0x4533E03d983Fae04741131C5f7cB35F1b32A1ACD,2,1
0x4533E03d983Fae04741131C5f7cB35F1b32A1ACD,3,1
0x4533E03d983Fae04741131C5f7cB35F1b32A1ACD,4,1
0x4533E03d983Fae04741131C5f7cB35F1b32A1ACD,5,1
0x4533E03d983Fae04741131C5f7cB35F1b32A1ACD,6,2
0xadEa3Af062Df0de0c29e67D001D0859cd738BCcD,1,4
0xadEa3Af062Df0de0c29e67D001D0859cd738BCcD,2,1
0xadEa3Af062Df0de0c29e67D001D0859cd738BCcD,3,1
0xadEa3Af062Df0de0c29e67D001D0859cd738BCcD,4,1
0xadEa3Af062Df0de0c29e67D001D0859cd738BCcD,5,1
0xadEa3Af062Df0de0c29e67D001D0859cd738BCcD,6,1
0x5944A50f736aA23a482E8618682B213f65D9E50a,1,1
0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98,1,1
0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98,2,1
0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98,3,1
0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98,4,1
0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98,5,1
0x9F1CfC94feC8826B7e546CB77b6f7C2707B2Bf98,6,1
0x0A886A3CDFF704d7ee9A083D4165299B27e6eD7e,1,1
0x1467E4395F401e72877A46EdEd3DE6bFD714C572,1,1
0x1467E4395F401e72877A46EdEd3DE6bFD714C572,2,2
0x1467E4395F401e72877A46EdEd3DE6bFD714C572,3,1
0x1467E4395F401e72877A46EdEd3DE6bFD714C572,4,10
0x1467E4395F401e72877A46EdEd3DE6bFD714C572,5,4
0x1467E4395F401e72877A46EdEd3DE6bFD714C572,6,5
0xc3b77ff6624E3b6904bdE69D3Fd0A4f7161Cf227,1,1
0xF5166c7c77f19d1Ca7FCef9D3580F3F75e2f144E,1,1
0xF5166c7c77f19d1Ca7FCef9D3580F3F75e2f144E,2,1
0xF5166c7c77f19d1Ca7FCef9D3580F3F75e2f144E,3,1
0xF5166c7c77f19d1Ca7FCef9D3580F3F75e2f144E,4,1
0x2C214951b9f9C66C9CE764E94775bf930720EaC4,1,1
0x2C214951b9f9C66C9CE764E94775bf930720EaC4,3,3
0xAC8b275b9ce0Fee06aBFB98ef20471A9E9dA56c4,1,1
0xc41C8053f399016200D7ef033918aC48C901eC14,1,1
0xA7C0E474A9F3207Db3F7ED86C994E2C8F144dbb1,1,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,1,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,2,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,3,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,4,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,5,2
0x9CF40f5fB40626E3B242049da8C7e013C0CddC19,6,6
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,1,2
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,2,5
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,3,4
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,4,4
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,5,4
0x5aF270304fc52cA1feea3357cF0Fe89CAEa5ECd9,6,2
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,1,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,2,1
0x9231bB34bc0a7c9bFd33C5456f8ed78e1B64d93A,3,1
